Software;Word for Windows;Word for Mac;Word Online;Pages;Apache OpenOffice / LibreOffice;Kile/LyX;Google Docs;RTF scan;Other
Bebop;No;No;No;No;No;No;No;No;none
BibBase;No;No;No;No;No;No;No;No;none
BibDesk;No;No;No;No;No;Yes;?;?;?
Biblioscape;Yes;No;?;No;No;No;No;?;WordPerfect
BibSonomy;No;No;No;No;No;No;No;No;none
Bibus;Yes;?;?;?;Yes;No;No;?;none
Bookends;Yes;Yes;No;Yes;Yes;No;No;Yes;Mellel, Nisus
Citavi;Yes;No;No;No;Only versions prior to 6.0;Yes;No;Only versions prior to 6.0;LaTeX editors LEd, Texmaker, TeXnicCenter, TeXstudio, TeXworks, WinEdt, WinShell
CiteULike;No;No;No;No;No;No;No;No;none
colwiz;Yes;?;?;?;Yes;No;No;?;NeoOffice, Star Office
EndNote;Yes;Yes;No;Yes;No;No;No;Yes;No
JabRef;Yes;?;?;?;Yes;Yes;No;?;Emacs, Texmaker, TeXstudio, Vim, WinEdt
KBibTeX;No;?;?;?;No;Yes;No;?;none
Mendeley;Yes;Partial;Yes;No;Yes;No;No;?;NeoOffice
Paperpile;in beta;No;No;No;No;No;Yes;No;No
Pybliographer;No;?;?;?;Yes;Yes;No;?;none
Qiqqa;Yes;?;?;?;No;Yes;No;No;none
ReadCube (now Papers);Yes;Yes;Yes;Yes;Yes;No;Yes;No| style="background:#9F9,vertical-align:middle,text-align:center," class="table-yes"|Manuscripts App, Ulysses, Scrivener
refbase;No;?;?;?;Yes;No;No;Yes;PIRA, MediaWiki, SPIP
RefDB;No;?;?;?;No;No;No;No;none
Reference Manager;Yes;No;?;No;No;No;No;Yes;none
Referencer;?;?;?;?;?;?;?;?;?
RefME;?;?;?;?;?;?;?;?;?
RefWorks;Yes;Yes;No;No;No;No;Yes;Yes;none
SciRef;Yes;?;?;?;No;No;No;No;none
Sente;Yes;?;?;Only versions prior to 5.0;No;No;No;Yes;Mellel, Nisus, TextEdit, HTML and plain text scan
Wikindx;No;?;?;?;No;No;No;Yes;Integrated WYSIWYG word processor (RTF output for Word/OpenOffice)
WizFolio;Yes;?;?;?;Yes;No;Yes;?;Zoho Writer
Zotero;Yes;Yes;No;No;Yes;(with LyZ);Yes;Yes;NeoOffice
