Asian interplanetary exploration probes ;Asian interplanetary exploration probes ;Asian interplanetary exploration probes ;Asian interplanetary exploration probes ;Asian interplanetary exploration probes ;Asian interplanetary exploration probes 
 Mission name ; Destination ; Type ; Year ; Vehicle ; Outcome 
 JPN Nozomi ; Mars ; Orbiter ; 2003 ; JPN M-V ; Failure 
 JPN Hayabusa ; Asteroid: 25143 Itokawa ; Sample return ; 2005-7 ; JPN M-V ; Success 
 JPN Akatsuki(PLANET-C) ; Venus ; Orbiter ; 2010 ; JPN H-IIA 202 ; Failure(Failed orbiter insertion) 
 JPN Akatsuki(PLANET-C) ; Venus ; Orbiter ; 2015 ; JPN H-IIA 202 ; Success 
 JPN IKAROS ; Venus ; Flyby ; 2010 ; JPN H-IIA 202 ; Success 
 JPN Shin'en ; Venus ; Flyby ; 2010 ; JPN H-IIA 202 ; Failure 
 PRC Yinghuo-1 ; Mars ; Orbiter ; 2011 ; UKR Zenit-2M ; Failure 
 PRC Chang'e 2 ; Asteroid: 4179 Toutatis ; Flyby ; 2012 ; PRC Long March 3C ; Success 
 IND Mars Orbiter Mission ; Mars ; Orbiter ; 2013-14 ; IND PSLV-XL ; Success 
 JPN Hayabusa2 ; Asteroid: 162173 Ryugu ; Sample return ; 2014-20 ; JPN H-IIA 202 ; en route 
 JPN PROCYON ; Asteroid: 2000 DP107 ; Flyby ; 2016 ; JPN H-IIA 202 ; Failure 
 JPN Mio ; Mercury ; Orbiter ; 2018-24 ; EU Ariane 5 ECA ; en route 
 PRC Tianwen-1 ; Mars ; Orbiter/Rover ; 2020-21 ; PRC Long March 5 ; en route 
 UAE Hope Mars Mission ; Mars ; Orbiter ; 2020-21 ; JPN H-IIA ; en route 
 IND Aditya-L1 ; Sun ; Orbiter ; 2020 ; IND PSLV-XL ; Planned 
 JPN DESTINY+ ; Asteroid: 3200 Phaethon ; Flyby ; 2022-26 ; JPN Epsilon ; Planned 
 IND Shukrayaan-1 ; Venus ; Orbiter and aerobots ; 2023 ; IND GSLV MkIII ; Planned 
 JPN MMX ; Mars ; Orbiter ; 2024-2025 ; TBD ; Planned 
 JPN MMX ; Phobos ; Sample return ; 2024-2025 ; TBD ; Planned 
 IND Mars Orbiter Mission 2 ; Mars ; OrbiterLanderRover ; TBD ; IND GSLV MkII or GSLV MkIII ; Planned 
