 ;Australia Post ;Canada Post ;DHL ;FedEx ;United States Postal Service ;UPS 
 Apache OFBiz ; no ; no ; yes ; yes ; yes ; yes 
 Batavi ; no ; no ; no ; no ; no ; no 
 Bigcommerce ; yes ; yes ; no ; yes ; yes ; yes 
 KonaKart ; no ; no ; no ; yes ; yes ; yes 
 Magento ; no ; no ; yes ; yes ; yes ; yes 
 nopCommerce ; no ; no ; no ; yes ; yes ; yes 
 osCommerce ; no ; no ; no ; no ; no ; no 
 PrestaShop ; webservice ; no ; no ; yes ; yes ; yes 
 Shopify ; no ; no ; no ; no ; no ; no 
 WooCommerce ; yes ; yes ; no ; no ; yes ; no 
 Zen Cart ; no ; no ; add-on ; add-on ; add-on ; add-on 
 ;Australia Post ;Canada Post ;DHL ;FedEx ;United States Postal Service ;UPS 
